Entropy	packetNum	RST_Delay_Difference(s)
l	250	0.226912
h	250	1.142588
l	500	0.452916
h	500	2.283588
l	750	0.678916
h	750	3.424588
l	1000	0.904916
h	1000	4.565588
l	1250	1.130916
h	1250	5.706588
l	1500	1.356916
h	1500	6.847588
l	1750	1.582916
h	1750	7.988588
l	2000	1.808916
h	2000	9.129588
l	2250	2.034916
h	2250	10.270588
l	2500	2.260916
h	2500	11.411588
l	2750	2.486916
h	2750	12.552588
l	3000	2.712916
h	3000	13.693588
